Date,Open,High,Low,Close,Volume,ema_20,ema_50,ema_100,rsi_14,rsi_change,macd,macd_signal,macd_hist,bb_percent,bb_width,obv,obv_slope,adx,plus_di,minus_di
2017-12-29,33980.76171875,34137.96875,33752.03125,34056.828125,45400,32795.05642059766,31308.066690484768,29663.81901126899,66.98407554144677,0.755764796070892,778.134824205852,751.2223040750487,26.912520130803387,0.8953916395736617,10.68007407521351,15.428801238944812,10.723289410218579,29.237878271018293,28.835806727950043,15.796653170809469
2018-01-05,34059.98828125,34188.8515625,33703.37109375,34153.8515625,52300,32924.46548173122,31419.666097230463,29752.73054693693,67.63355052674778,0.649474985301012,792.9079540344719,759.5594340669334,33.34851996753855,0.8792501570807422,10.81326761752832,15.439167104812345,10.864770770329113,29.298890040860993,27.904430705685368,14.99508882175326
2018-01-12,34216.328125,34638.421875,34216.328125,34592.390625,49100,33083.315495375864,31544.086666946918,29848.565399967883,70.46192830603363,2.8283777792858444,830.4295284980944,773.7334529531656,56.69607554492882,0.943175450481501,11.18816046071566,15.448801901706316,10.801634680173994,29.88241457732341,31.259800121512693,14.219507081251834
2018-01-19,34687.2109375,35542.171875,34687.2109375,35511.578125,154100,33314.57860295911,31699.674567262726,29960.704265810105,75.32845595617246,4.866527650138835,923.6886876533754,803.7244998932076,119.96418776016776,1.0690694277228654,12.579970560353162,15.47845151149631,11.945363510579819,31.254808077154784,37.54888169329199,12.819875269286019
2018-01-26,35613.96875,36268.19140625,35544.6796875,36050.44140625,81000,33575.13696517729,31870.292874673993,30081.293120076243,77.6528917409076,2.324435784735144,1029.2148582861118,848.8225715717886,180.3922867143233,1.0779581435099321,13.969038063727027,15.493690830509971,11.302216779257382,33.033042930485884,42.09694960378209,11.821620638234801
2018-02-02,36106.359375,36443.98046875,35006.41015625,35066.75,89200,33717.19534944612,31995.6441344907,30180.015038490576,65.51774261729244,-12.135149123615165,1021.6920039153265,883.3964580404961,138.2955458748304,0.8287624248166799,14.253825218072985,15.476895740896925,-11.398647529267592,33.57312083323901,36.311449129128576,15.342838581674354
2018-02-09,34718.8515625,34874.171875,33482.80859375,34005.76171875,110400,33744.67786080839,32074.472275049888,30255.772398495712,55.45209276851396,-10.065649848778484,919.5175741642597,890.6206812652488,28.896892899010936,0.588605445675508,13.58830335334773,15.45571062598967,-11.611874470755124,31.73535194629551,31.2202369106238,26.6784570000447
2018-02-16,34203.33984375,34535.078125,33957.328125,34010.76171875,67600,33770.019180612355,32150.40519441068,30330.128622659162,55.48679966761294,0.03470689909898539,829.3864104087043,878.3738270939399,-48.987416685235644,0.5674901408189598,11.998742836275548,15.468735855797824,11.121378054821049,30.028852265562257,29.59050730351637,25.28581313992972
2018-02-23,34053.94921875,34167.6015625,33554.37109375,34142.1484375,88300,33805.46006222071,32228.512772571044,30405.6141635471,56.44702352702724,0.9602238594142989,759.8001210941293,854.6590858939778,-94.85896479984854,0.578900725367726,10.789406783341219,15.485497983511868,11.388506711556236,27.930561919299578,27.924296102289816,27.562087968436906
2018-03-02,34225.71875,34610.7890625,34015.7890625,34046.94140625,44400,33828.458285461595,32299.823699381985,30477.719653501612,55.512528652668145,-0.9344948743590962,689.02739482381,821.5327476799444,-132.50535285613432,0.5328927444407252,10.058765292969147,15.477104582451686,-10.70101727068921,26.501609659288565,30.511606028348115,26.030512898673408
2018-03-09,34034.28125,34060.12890625,32991.140625,33307.140625,63100,33778.80898446525,32339.326323916022,30533.747791551083,48.75776561259341,-6.754763040074735,566.7110666795561,770.5684114798668,-203.85734480031067,0.2873109363879411,9.31723767062474,15.465053600032386,-11.052491896264268,25.230991207455986,27.549623428929042,32.80860664074134
